UserID,ItemID,Rating,TripType
5000,1495,5.0,COUPLES
5000,857,4.33,COUPLES
5000,265,4.29,COUPLES
5000,982,3.2,COUPLES
5000,1438,3.0,COUPLES
5000,867,4.0,COUPLES
5000,1355,3.67,COUPLES
5000,338,4.36,COUPLES
5000,189,3.89,COUPLES
5000,466,4.0,COUPLES
5000,794,4.45,COUPLES
5000,1786,4.0,COUPLES
5000,2114,5.0,COUPLES
5000,2061,3.5,COUPLES
5000,616,4.28,COUPLES
5000,1859,4.5,COUPLES
5000,1911,4.25,COUPLES
5000,932,4.5,COUPLES
5000,312,5.0,COUPLES
5000,979,5.0,COUPLES
5000,1577,5.0,COUPLES
5000,298,5.0,COUPLES
5000,979,5.0,COUPLES
5000,422,5.0,COUPLES
5000,46,5.0,COUPLES
5000,680,5.0,COUPLES
5000,46,5.0,COUPLES
5001,193,3.64,COUPLES
5001,908,4.5,COUPLES
5001,1588,5.0,COUPLES
5001,2046,5.0,COUPLES
5001,156,4.16,COUPLES
5001,536,4.0,COUPLES
5001,951,3.92,COUPLES
5001,480,3.83,COUPLES
5001,1151,4.0,COUPLES
5001,515,3.0,COUPLES
5001,949,4.5,COUPLES
5001,983,1.0,COUPLES
5001,1976,5.0,COUPLES
5001,1882,4.33,COUPLES
5001,825,5.0,COUPLES
5001,1860,5.0,COUPLES
5001,1555,4.0,COUPLES
5001,1196,5.0,COUPLES
5001,1799,4.75,COUPLES
5001,1182,3.83,COUPLES
5001,2155,5.0,COUPLES
5001,697,4.67,COUPLES
5001,241,4.44,COUPLES
5001,680,5.0,COUPLES
5001,1577,5.0,COUPLES
5001,224,5.0,COUPLES
5001,422,5.0,COUPLES
5001,979,5.0,COUPLES
5001,880,5.0,COUPLES
5001,422,5.0,COUPLES
5001,880,5.0,COUPLES
5002,1336,5.0,COUPLES
5002,1599,4.33,COUPLES
5002,1313,4.43,COUPLES
5002,1580,5.0,COUPLES
5002,1142,4.0,COUPLES
5002,11,3.0,COUPLES
5002,2147,4.0,COUPLES
5002,362,4.09,COUPLES
5002,757,4.0,COUPLES
5002,496,5.0,COUPLES
5002,1722,4.0,COUPLES
5002,678,4.75,COUPLES
5002,1885,5.0,COUPLES
5002,585,4.14,COUPLES
5002,2090,4.5,COUPLES
5002,61,4.35,COUPLES
5002,1134,4.0,COUPLES
5002,1216,3.6,COUPLES
5002,841,4.2,COUPLES
5002,29,4.22,COUPLES
5002,2131,5.0,COUPLES
5002,1495,5.0,COUPLES
5002,224,5.0,COUPLES
5002,880,5.0,COUPLES
5002,1577,5.0,COUPLES
5002,890,5.0,COUPLES
5002,46,5.0,COUPLES
5002,979,5.0,COUPLES
5002,680,5.0,COUPLES
5002,298,5.0,COUPLES
5003,1505,4.5,COUPLES
5003,819,4.67,COUPLES
5003,908,4.5,COUPLES
5003,1482,4.0,COUPLES
5003,1725,3.0,COUPLES
5003,1215,3.0,COUPLES
5003,498,3.71,COUPLES
5003,1854,3.0,COUPLES
5003,1507,5.0,COUPLES
5003,403,3.67,COUPLES
5003,260,4.3,COUPLES
5003,2128,3.0,COUPLES
5003,1543,3.75,COUPLES
5003,1350,3.33,COUPLES
5003,2027,5.0,COUPLES
5003,2109,5.0,COUPLES
5003,261,3.53,COUPLES
5003,319,4.5,COUPLES
5003,1549,4.0,COUPLES
5003,855,5.0,COUPLES
5003,1577,5.0,COUPLES
5003,224,5.0,COUPLES
5003,890,5.0,COUPLES
5003,298,5.0,COUPLES
5003,680,5.0,COUPLES
5004,1554,5.0,COUPLES
5004,1323,4.25,COUPLES
5004,1255,4.75,COUPLES
5004,24,4.0,COUPLES
5004,878,3.88,COUPLES
5004,292,3.0,COUPLES
5004,124,5.0,COUPLES
5004,113,4.0,COUPLES
5004,1765,4.5,COUPLES
5004,570,4.0,COUPLES
5004,1909,1.0,COUPLES
5004,1083,4.5,COUPLES
5004,1734,4.17,COUPLES
5004,2003,4.0,COUPLES
5004,946,4.0,COUPLES
5004,1345,4.5,COUPLES
5004,1035,4.0,COUPLES
5004,135,5.0,COUPLES
5004,1006,3.8,COUPLES
5004,1230,4.5,COUPLES
5004,890,5.0,COUPLES
5004,46,5.0,COUPLES
5004,880,5.0,COUPLES
5004,979,5.0,COUPLES
5004,890,5.0,COUPLES
5004,422,5.0,COUPLES
5004,1577,5.0,COUPLES
5004,46,5.0,COUPLES
5005,417,3.83,COUPLES
5005,535,3.5,COUPLES
5005,1196,5.0,COUPLES
5005,2022,4.0,COUPLES
5005,2080,2.0,COUPLES
5005,291,4.5,COUPLES
5005,1691,3.5,COUPLES
5005,630,4.08,COUPLES
5005,993,4.0,COUPLES
5005,977,4.67,COUPLES
5005,316,4.22,COUPLES
5005,601,4.16,COUPLES
5005,1416,4.75,COUPLES
5005,2070,5.0,COUPLES
5005,1395,4.17,COUPLES
5005,2179,4.0,COUPLES
5005,2237,4.0,COUPLES
5005,1316,4.0,COUPLES
5005,929,4.0,COUPLES
5005,371,4.12,COUPLES
