5000.0,885.0,5.0
5000.0,11.0,5.0
5000.0,835.0,5.0
5000.0,1678.0,5.0
5000.0,254.0,5.0
5000.0,1211.0,5.0
5000.0,946.0,5.0
5000.0,1648.0,5.0
5000.0,1863.0,5.0
5000.0,72.0,5.0
5000.0,1815.0,5.0
5000.0,1048.0,5.0
5000.0,155.0,5.0
5000.0,993.0,5.0
5000.0,359.0,5.0
5000.0,918.0,5.0
5000.0,1883.0,5.0
5000.0,2083.0,5.0
5000.0,909.0,5.0
5000.0,2226.0,5.0
5000.0,1728.0,5.0
5000.0,733.0,1.0
5000.0,680.0,1.0
5000.0,46.0,1.0
5000.0,733.0,1.0
5000.0,422.0,1.0
5001.0,2050.0,5.0
5001.0,555.0,5.0
5001.0,321.0,5.0
5001.0,1227.0,5.0
5001.0,474.0,5.0
5001.0,2175.0,5.0
5001.0,1177.0,5.0
5001.0,1685.0,5.0
5001.0,1297.0,5.0
5001.0,1852.0,5.0
5001.0,568.0,5.0
5001.0,1596.0,5.0
5001.0,721.0,5.0
5001.0,1735.0,5.0
5001.0,2038.0,5.0
5001.0,142.0,5.0
5001.0,1641.0,5.0
5001.0,989.0,5.0
5001.0,790.0,5.0
5001.0,983.0,5.0
5001.0,172.0,5.0
5001.0,1237.0,5.0
5001.0,261.0,5.0
5001.0,880.0,1.0
5001.0,680.0,1.0
5001.0,422.0,1.0
5002.0,1394.0,5.0
5002.0,695.0,5.0
5002.0,1603.0,5.0
5002.0,2006.0,5.0
5002.0,171.0,5.0
5002.0,1327.0,5.0
5002.0,1151.0,5.0
5002.0,272.0,5.0
5002.0,1695.0,5.0
5002.0,1427.0,5.0
5002.0,911.0,5.0
5002.0,1813.0,5.0
5002.0,1017.0,5.0
5002.0,1347.0,5.0
5002.0,894.0,5.0
5002.0,1843.0,5.0
5002.0,1203.0,5.0
5002.0,1601.0,5.0
5002.0,579.0,5.0
5002.0,1405.0,5.0
5002.0,1689.0,5.0
5002.0,1032.0,5.0
5002.0,422.0,1.0
5002.0,422.0,1.0
5002.0,733.0,1.0
5002.0,880.0,1.0
5003.0,904.0,5.0
5003.0,1618.0,5.0
5003.0,743.0,5.0
5003.0,1573.0,5.0
5003.0,1182.0,5.0
5003.0,1038.0,5.0
5003.0,1381.0,5.0
5003.0,2193.0,5.0
5003.0,1698.0,5.0
5003.0,1733.0,5.0
5003.0,894.0,5.0
5003.0,1495.0,5.0
5003.0,1353.0,5.0
5003.0,1801.0,5.0
5003.0,157.0,5.0
5003.0,1382.0,5.0
5003.0,1564.0,5.0
5003.0,1213.0,5.0
5003.0,1525.0,5.0
5003.0,1734.0,5.0
5003.0,569.0,5.0
5003.0,737.0,5.0
5003.0,1385.0,5.0
5003.0,1850.0,5.0
5003.0,287.0,5.0
5003.0,1665.0,5.0
5003.0,422.0,1.0
5003.0,422.0,1.0
5003.0,880.0,1.0
5004.0,1085.0,5.0
5004.0,1810.0,5.0
5004.0,1673.0,5.0
